,estado,total_clientes,total_pedidos,receita_total_vendas,frete_medio
0,AC,76,80,15731.979,40.199333328670924
1,AL,386,396,78725.59,35.83366197263691
2,AM,140,145,22155.861,33.31061350933613
3,AP,66,67,13374.813,34.16049385070801
4,BA,3150,3248,491007.72,26.469060424476663
5,CE,1255,1275,217917.22,32.72851689252476
6,DF,1860,1917,272301.22,21.083496097848506
7,ES,1923,1989,267273.06,22.015883426668886
8,GO,1887,1948,281893.94,22.597361952152024
9,MA,697,714,116113.67,38.53486180170697
10,MG,10992,11345,1548323.8,20.631014411822107
11,MS,681,701,115229.43,23.334029646477536
12,MT,855,884,151301.52,28.043937941931844
13,PA,920,944,174110.58,35.62249998108062
14,PB,502,515,110883.06,42.95565520843555
15,PE,1547,1589,251478.84,32.68869608805431
16,PI,461,473,84167.99,39.244519283221315
17,PR,4758,4912,664091.6,20.475089818595514
18,RJ,11905,12337,1753530.4,20.901471615008614
19,RN,462,472,81881.63,35.725645480817455
20,RO,229,241,45303.035,41.26240745120578
21,RR,40,41,7057.47,43.08804337874703
22,RS,5164,5341,727041.5,21.616249617804566
23,SC,3449,3546,506187.75,21.51239729971204
24,SE,328,334,56484.152,36.53425138009423
25,SP,39142,40487,5059322.0,15.11293903898407
26,TO,266,273,48089.75,37.48269478763853
